MTW > 40 GeV:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1444	1187	1186	1185	564	442	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3095977|	7|	56.1007|	0.016106 (0, 0.903557, 0) |	65.3986|	31.5019|	37.1409|	79.6387|	|	
1|	3095980|	7|	50.3215|	0 (0, 0, 0) |	49.8582|	33.9858|	26.189|	41.9673|	|	
1|	3096002|	7|	61.6589|	0.0836654 (0.820817, 1.97229, 2.36561) |	46.6084|	44.6245|	30.5134|	86.3847|	|	
1|	3096070|	7|	72.409|	0.0801856 (0, 4.64942, 1.15675) |	195.533|	113.644|	52.9522|	76.9626|	|	
1|	3096130|	7|	27.4121|	0.0320241 (0, 0, 0.877847) |	86.8673|	72.7128|	50.1065|	73.876|	|	
1|	3096157|	7|	40.7604|	0.0392879 (0.983306, 0.618085, 0) |	112.008|	57.4622|	50.2336|	90.4763|	|	
1|	3096226|	7|	37.8666|	0.0148956 (0, 0, 0.564044) |	67.7498|	51.9766|	59.3606|	94.8023|	|	
1|	3096243|	7|	42.24|	0.0398846 (1.68473, 0, 0) |	36.8473|	36.542|	51.1477|	68.7869|	|	
1|	3096297|	7|	63.1213|	0.0564487 (0.760722, 1.42723, 1.37516) |	152.54|	144.097|	74.2098|	133.251|	|	
1|	3096318|	7|	54.1681|	0.0529585 (0, 1.82797, 1.04069) |	45.1203|	40.7845|	22.2337|	41.7014|	|	
1|	3096374|	7|	57.0043|	0.0271538 (0, 1.54788, 0) |	78.2518|	60.7396|	46.6042|	54.0092|	|	
1|	3279731|	7|	24.9005|	0.0570743 (0, 1.42118, 0) |	140.777|	60.9715|	102.413|	88.1737|	|	
1|	3279767|	7|	35.2107|	0.0164549 (0, 0, 0.579389) |	58.9715|	41.5968|	71.5058|	68.9485|	|	
1|	3279770|	7|	30.2407|	0.0542812 (0, 1.6415, 0) |	82.4175|	78.5736|	36.2327|	63.8447|	|	
1|	3279815|	7|	46.4524|	0.0851621 (1.80425, 2.15173, 0) |	54.2195|	49.251|	45.4489|	81.34|	|	
1|	3279831|	7|	37.5397|	0.00587489 (0, 0.220541, 0) |	49.9104|	31.9848|	77.1681|	106.837|	|	
1|	3279834|	7|	20.2982|	0.0310231 (0, 0.629713, 0) |	66.3171|	32.0589|	96.9931|	72.8268|	|	
1|	3279909|	7|	35.9855|	0.0888782 (0, 0.215049, 2.98327) |	41.5322|	32.1097|	41.6171|	63.7031|	|	
1|	3279939|	7|	40.9017|	0.0689643 (1.57017, 1.25058, 0) |	54.6799|	49.9473|	48.1327|	87.8496|	|	
1|	3279940|	7|	61.8252|	0 (0, 0, 0) |	33.0424|	31.9007|	30.1879|	84.9929|	|	
1|	3279943|	7|	27.3865|	0 (0, 0, 0) |	53.3835|	34.2615|	75.7267|	68.8297|	|	
1|	3279998|	7|	63.6564|	0.0224393 (0, 1.4284, 0) |	98.5799|	30.6943|	37.0166|	64.9927|	|	
1|	3280040|	7|	82.0193|	0 (0, 0, 0) |	43.5555|	33.8156|	6.39446|	45.0199|	|	
1|	3280179|	7|	36.7143|	0.0104462 (0, 0.383525, 0) |	57.1854|	40.9423|	19.5317|	53.5492|	|	
1|	3280213|	7|	20.5799|	0.133372 (1.86138, 0.883395, 0) |	85.446|	45.7672|	62.4427|	69.1285|	|	
1|	3280221|	7|	59.769|	0.0398668 (0, 1.12619, 1.25661) |	96.8492|	83.9504|	20.9119|	59.7968|	|	
1|	3280261|	7|	108.914|	0.008799 (0, 0.206176, 0.75216) |	61.0744|	39.2876|	44.6472|	128.895|	|	
1|	3280270|	7|	53.595|	0 (0, 0, 0) |	119.517|	102.513|	21.9403|	43.824|	|	
1|	3280273|	7|	27.592|	0 (0, 0, 0) |	117.339|	44.4442|	117.234|	76.7357|	|	
1|	3905256|	8|	29.5371|	0.112206 (0, 0.318878, 2.99535) |	87.5046|	76.237|	59.1127|	81.5372|	|	
1|	3905286|	8|	33.72|	0 (0, 0, 0) |	103.165|	49.4136|	67.5817|	47.4991|	|	
1|	3905406|	8|	48.2824|	0.0384135 (0, 1.85469, 0) |	60.4645|	38.693|	47.0449|	91.1209|	|	
1|	3905426|	8|	69.6565|	0.00279232 (0, 0.194503, 0) |	33.3689|	32.7382|	43.9048|	110.361|	|	
1|	3905428|	8|	27.2938|	0 (0, 0, 0) |	109.225|	92.2991|	37.8922|	61.6563|	|	
1|	3905462|	8|	36.6967|	0.0271367 (0, 0.995828, 0) |	130.422|	118.08|	51.4705|	86.0231|	|	
1|	3905508|	8|	44.4095|	0 (0, 0, 0) |	64.3659|	58.4157|	66.6014|	107.82|	|	
1|	3905646|	8|	60.7895|	0.0154122 (0, 0.936898, 0) |	49.9608|	46.7999|	31.8673|	59.5431|	|	
1|	3905661|	8|	42.2652|	0 (0, 0, 0) |	61.975|	38.5498|	50.9859|	79.8046|	|	
1|	3905715|	8|	74.5594|	0.0840253 (0, 4.5781, 1.68678) |	59.9449|	31.2032|	74.1404|	114.981|	|	
1|	3905749|	8|	64.24|	0 (0, 0, 0) |	44.6753|	43.0178|	56.6751|	93.546|	|	
1|	165155|	1|	30.1345|	0 (0, 0, 0) |	52.2017|	39.4511|	33.2513|	51.8517|	|	
1|	165168|	1|	104.845|	0.0180688 (0, 1.89442, 0) |	58.4663|	37.9209|	26.565|	53.5424|	|	
1|	165222|	1|	36.9096|	0.0515839 (0, 1.90394, 0) |	48.5142|	35.8036|	64.541|	62.8665|	|	
1|	165237|	1|	29.9433|	0 (0, 0, 0) |	81.2026|	52.9347|	38.3196|	60.4916|	|	
1|	165239|	1|	43.3233|	0.0681722 (0, 2.95345, 0) |	59.3525|	53.505|	29.1418|	68.811|	|	
1|	165264|	1|	33.1596|	0.120791 (1.90185, 1.16646, 0.937081) |	68.6776|	33.9093|	112.51|	99.2788|	|	
1|	165373|	1|	24.3556|	0.0259352 (0, 0.631668, 0) |	93.348|	57.1517|	49.3713|	58.399|	|	
1|	165439|	1|	93.7794|	0 (0, 0, 0) |	44.1655|	40.9276|	40.5945|	65.9409|	|	
1|	165478|	1|	21.7324|	0.0853745 (0, 0.563975, 1.29142) |	87.8019|	46.9764|	56.739|	62.7674|	|	
1|	165587|	1|	84.2006|	0.020811 (0, 0.825909, 0.926387) |	131.136|	56.0568|	25.4241|	77.7805|	|	
1|	165666|	1|	71.0963|	0.0117307 (0, 0, 0.834008) |	53.133|	34.5905|	20.7507|	70.8837|	|	
1|	165667|	1|	50.9662|	0.0404257 (0.957624, 0.331695, 0.77103) |	67.6143|	53.5457|	61.3395|	92.3311|	|	
1|	1318954|	3|	38.0487|	0.0459854 (0.99497, 0, 0.754716) |	41.1926|	30.0425|	42.0084|	55.9007|	|	
1|	1318966|	3|	40.1849|	0.0573806 (0.796917, 0, 1.50892) |	65.5913|	56.8176|	34.4158|	71.0417|	|	
1|	1319007|	3|	29.2967|	0.119781 (0, 1.42275, 2.08644) |	77.75|	35.3274|	44.0279|	40.6971|	|	
1|	1319038|	3|	24.7471|	0.0932869 (0, 2.30858, 0) |	61.1426|	36.2016|	61.5744|	75.1956|	|	
1|	1319039|	3|	35.8914|	0.0368032 (0, 0.581666, 0.739251) |	132.222|	109.36|	28.3487|	44.1702|	|	
1|	1319086|	3|	37.4438|	0.0218956 (0, 0.819852, 0) |	49.8219|	31.4173|	55.9977|	76.489|	|	
1|	1319136|	3|	58.7194|	0.0881213 (2.70592, 2.46851, 0) |	48.9433|	39.2821|	42.3425|	84.3643|	|	
1|	1319165|	3|	78.3133|	0.0772197 (4.40331, 1.64403, 0) |	42.6657|	33.764|	35.3214|	102.43|	|	
1|	1319179|	3|	28.0261|	0.0131047 (0, 0.367273, 0) |	118.325|	105.299|	51.831|	73.4797|	|	
1|	1319335|	3|	23.3743|	0.0411139 (0.961009, 0, 0) |	98.1738|	92.2241|	95.099|	92.0514|	|	
1|	1319368|	3|	66.7185|	0 (0, 0, 0) |	52.8353|	32.0517|	47.0054|	94.5289|	|	
1|	1319501|	3|	21.7893|	0.0211144 (0, 0.460067, 0) |	57.3881|	44.2991|	92.868|	61.1628|	|	
1|	1319523|	3|	20.548|	0.0726935 (0.74901, 0.744694, 0) |	98.5148|	51.4813|	89.0814|	60.7386|	|	
1|	1071927|	3|	21.4823|	0.120868 (0, 1.2969, 1.29961) |	97.9169|	48.4458|	61.5949|	71.8242|	|	
1|	1072035|	3|	48.7039|	0.0638 (2.51038, 0.596934, 0) |	71.0318|	41.1609|	57.2041|	94.0957|	|	
1|	1072060|	3|	35.4103|	0 (0, 0, 0) |	54.5875|	43.4865|	30.0237|	64.9444|	|	
1|	1072137|	3|	45.5715|	0.0759479 (2.60256, 0.204607, 0.653896) |	88.4164|	54.2022|	39.7044|	82.2132|	|	
1|	1072216|	3|	42.2223|	0.139278 (3.84371, 2.03691, 0) |	83.337|	58.0596|	21.3796|	60.08|	|	
1|	1072292|	3|	35.2194|	0 (0, 0, 0) |	84.3657|	44.4953|	37.537|	64.0858|	|	
1|	1072352|	3|	51.5773|	0.0252992 (0, 0, 1.30487) |	51.2113|	45.8865|	77.9662|	76.9456|	|	
1|	1072367|	3|	70.0702|	0.0880958 (3.11954, 2.46954, 0.583819) |	55.6347|	48.2033|	15.074|	56.5363|	|	
1|	1072370|	3|	50.8001|	0.0213031 (0, 1.0822, 0) |	76.676|	34.2482|	44.8811|	74.6825|	|	
1|	1072433|	3|	37.6685|	0.0170627 (0, 0, 0.642728) |	98.9923|	38.7584|	93.1551|	58.0061|	|	
1|	1072477|	3|	77.5107|	0.00103228 (0, 0.0800129, 0) |	104.09|	90.1919|	34.9962|	78.0994|	|	
1|	1072482|	3|	85.5294|	0.00929745 (0.795205, 0, 0) |	55.0481|	39.766|	43.6947|	97.9612|	|	
1|	1072501|	3|	34.4459|	0.0146618 (0, 0.505038, 0) |	60.4343|	35.0031|	44.7664|	76.4726|	|	
1|	1072509|	3|	23.1182|	0 (0, 0, 0) |	73.5423|	51.9392|	53.7521|	48.1734|	|	
1|	1072529|	3|	58.2199|	0.0697347 (0, 3.50599, 0.553961) |	114.8|	44.7707|	36.0354|	42.872|	|	
1|	1072532|	3|	59.696|	0.053038 (0, 3.16616, 0) |	48.1654|	34.3477|	55.1688|	89.8097|	|	
1|	1072535|	3|	35.7591|	0 (0, 0, 0) |	147.627|	76.7273|	97.1777|	61.6676|	|	
1|	3099097|	7|	78.6884|	0 (0, 0, 0) |	43.9405|	35.7041|	39.7479|	84.3172|	|	
1|	3099116|	7|	25.2378|	0.0555187 (0, 1.40117, 0) |	128.36|	90.8104|	79.4305|	85.1474|	|	
1|	3099151|	7|	30.9035|	0.00922688 (0, 0.285143, 0) |	86.916|	77.6214|	55.1396|	64.4215|	|	
1|	3099163|	7|	35.2165|	0.0537969 (0, 0.903423, 0.991119) |	77.1443|	69.2477|	29.8601|	63.6133|	|	
1|	3099208|	7|	32.2034|	0 (0, 0, 0) |	109.538|	36.2479|	86.4468|	101.695|	|	
1|	3099275|	7|	125.47|	0.00747552 (0, 0.937952, 0) |	171.138|	62.4739|	15.4398|	50.3381|	|	
1|	3099313|	7|	35.3501|	0.0802331 (0.886353, 1.94989, 0) |	66.7873|	33.768|	82.3699|	107.032|	|	
1|	3099329|	7|	40.3119|	0 (0, 0, 0) |	67.8955|	51.4513|	51.1656|	57.3689|	|	
1|	3099365|	7|	54.7227|	0.0588244 (1.12097, 1.12063, 0.977427) |	49.1568|	33.7073|	60.3787|	102.34|	|	
1|	3099402|	7|	27.9304|	0.0300261 (0.83864, 0, 0) |	71.4328|	62.3321|	32.072|	54.0104|	|	
1|	3099406|	7|	31.7037|	0.0418138 (0, 1.32566, 0) |	80.635|	78.8488|	55.4821|	79.9362|	|	
1|	3099410|	7|	44.8451|	0.0555926 (0, 2.49305, 0) |	124.297|	110.913|	47.3783|	56.2146|	|	
1|	3099510|	7|	29.7492|	0.0545078 (0, 1.04231, 0.579256) |	99.0116|	31.2428|	87.5942|	88.2195|	|	
1|	3099565|	7|	44.3899|	0.0378969 (1.0761, 0.606137, 0) |	212.026|	128.7|	61.1105|	55.998|	|	
1|	3099616|	7|	40.0532|	0.0801321 (0, 2.30877, 0.900772) |	63.8906|	38.8708|	69.9256|	84.4762|	|	
1|	3406484|	7|	46.522|	0.101405 (0, 3.06235, 1.65522) |	84.8196|	55.3388|	60.3871|	57.5371|	|	
1|	3406507|	7|	52.1432|	0.0227326 (0.902423, 0.282929, 0) |	163.567|	83.6236|	67.4799|	77.723|	|	
1|	3406551|	7|	38.6899|	0 (0, 0, 0) |	47.3639|	32.9196|	52.596|	82.7455|	|	
1|	3406561|	7|	29.6353|	0.0683165 (0, 1.47154, 0.553045) |	64.6255|	43.0207|	54.886|	77.9856|	|	
1|	3406564|	7|	49.075|	0 (0, 0, 0) |	103.832|	80.1076|	22.144|	65.9231|	|	
1|	3406626|	7|	55.5118|	0.0093617 (0, 0.519684, 0) |	45.5401|	41.625|	40.9362|	92.8232|	|	
1|	3406672|	7|	40.6861|	0.0373019 (1.51767, 0, 0) |	126.744|	117.893|	32.8594|	72.1912|	|	
1|	3406706|	7|	30.3938|	0.0808986 (0.985533, 1.47329, 0) |	67.2685|	47.3397|	23.277|	45.6997|	|	
1|	3406714|	7|	33.3892|	0.0596133 (0, 0.543104, 1.44734) |	44.4207|	43.0313|	60.9591|	71.8188|	|	
1|	3406739|	7|	26.3007|	0.0296497 (0, 0.19085, 0.588958) |	41.6326|	35.4347|	48.5759|	71.3142|	|	
