Exactly one tagged jet, d_{TCHP} > 3.41:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	441	183
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	1072482|	3|	85.5294|	0.00929745 (0.795205, 0, 0) |	55.0481|	39.766|	43.6947|	97.9612|	3.93434|	
1|	1072535|	3|	35.7591|	0 (0, 0, 0) |	147.627|	76.7273|	97.1777|	61.6676|	15.6915|	
1|	3099151|	7|	30.9035|	0.00922688 (0, 0.285143, 0) |	86.916|	77.6214|	55.1396|	64.4215|	9.13917|	
1|	3099208|	7|	32.2034|	0 (0, 0, 0) |	109.538|	36.2479|	86.4468|	101.695|	4.29053|	
1|	3099406|	7|	31.7037|	0.0418138 (0, 1.32566, 0) |	80.635|	78.8488|	55.4821|	79.9362|	5.95559|	
1|	3099510|	7|	29.7492|	0.0545078 (0, 1.04231, 0.579256) |	99.0116|	31.2428|	87.5942|	88.2195|	5.63686|	
1|	3406484|	7|	46.522|	0.101405 (0, 3.06235, 1.65522) |	84.8196|	55.3388|	60.3871|	57.5371|	3.46728|	
1|	3406551|	7|	38.6899|	0 (0, 0, 0) |	47.3639|	32.9196|	52.596|	82.7455|	6.80785|	
1|	3406672|	7|	40.6861|	0.0373019 (1.51767, 0, 0) |	126.744|	117.893|	32.8594|	72.1912|	6.59014|	
1|	3406787|	7|	60.313|	0 (0, 0, 0) |	77.3393|	50.8069|	39.8018|	60.2484|	5.18388|	
1|	3406800|	7|	53.5209|	0 (0, 0, 0) |	49.4788|	32.5361|	19.1716|	63.9553|	5.36669|	
1|	3406858|	7|	37.5243|	0.0359182 (0, 1.34781, 0) |	123.481|	83.0253|	30.8292|	55.3755|	7.31639|	
1|	3406869|	7|	46.4399|	0.046389 (0, 1.4825, 0.671802) |	101.545|	93.9514|	57.2014|	89.9667|	8.29832|	
1|	3406902|	7|	32.782|	0 (0, 0, 0) |	56.9988|	55.731|	43.1967|	54.8419|	4.5591|	
1|	3407002|	7|	52.7687|	0.0310027 (0.929578, 0.706392, 0) |	115.367|	104.132|	52.4029|	102.294|	6.74376|	
1|	3407054|	7|	58.3249|	0.0180071 (0, 0.149852, 0.900412) |	122.386|	71.8439|	69.2602|	79.8784|	5.38732|	
1|	3447451|	7|	71.6225|	0.0596159 (0, 2.14277, 2.12707) |	77.9747|	55.0543|	56.5952|	74.9992|	6.04032|	
1|	3447641|	7|	38.8445|	0.0646964 (0, 1.43024, 1.08285) |	74.9311|	60.6111|	45.6723|	61.2785|	5.70278|	
1|	3447654|	7|	88.6744|	0.057625 (0.976886, 3.01659, 1.11639) |	69.6683|	39.3754|	30.783|	71.0324|	9.32855|	
1|	3447683|	7|	70.2425|	0.0428628 (0, 2.13938, 0.871416) |	53.6068|	32.1108|	48.2892|	78.8811|	6.48924|	
1|	3447713|	7|	41.9637|	0.0184972 (0.776209, 0, 0) |	69.1281|	65.0732|	47.5959|	65.0797|	10.9221|	
1|	3447924|	7|	20.9999|	0.0119399 (0, 0.250735, 0) |	51.6227|	33.2656|	71.7417|	68.6642|	8.13719|	
1|	3448007|	7|	53.8666|	0.0182643 (0, 0.983834, 0) |	71.0114|	48.6474|	45.8078|	68.4932|	4.80284|	
1|	3075615|	7|	70.7145|	0.0181449 (0, 1.28311, 0) |	83.6691|	56.5225|	32.9729|	85.712|	6.15278|	
1|	3075865|	7|	49.3187|	0.01927 (0, 0.950372, 0) |	51.0716|	38.8361|	18.8574|	46.4795|	11.7956|	
1|	3075921|	7|	58.9116|	0.0366461 (1.7985, 0.360375, 0) |	55.0859|	32.7229|	48.0289|	106.234|	20.0529|	
1|	3076011|	7|	53.9673|	0.11838 (1.52188, 4.86678, 0) |	54.5069|	47.7382|	64.845|	118.27|	13.4467|	
