Exactly one tight muon:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	0	0	0	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3095847|	7|	30.4166|	0.0235109 (0, 0, 0.715119) |	|	|				
1|	3095855|	7|	25.4331|	0 (0, 0, 0) |	|	|				
1|	3095869|	7|	37.1319|	0.0379683 (0.698339, 0.711498, 0) |	|	|				
1|	3095886|	7|	74.5213|	0.00494372 (0, 0.368412, 0) |	|	|				
1|	3095894|	7|	28.2645|	0.00656989 (0, 0.185695, 0) |	|	|				
1|	3095911|	7|	58.3556|	0.0367235 (0, 1.36929, 0.773733) |	|	|				
1|	3095960|	7|	26.7673|	0.121973 (0, 0.970246, 2.29465) |	|	|				
1|	3095977|	7|	56.1007|	0.016106 (0, 0.903557, 0) |	|	|				
1|	3095980|	7|	50.3215|	0 (0, 0, 0) |	|	|				
1|	3096002|	7|	61.6589|	0.0836654 (0.820817, 1.97229, 2.36561) |	|	|				
1|	3096005|	7|	54.6494|	0.0108815 (0, 0.594667, 0) |	|	|				
1|	3096064|	7|	30.6798|	0.0604277 (0, 1.85391, 0) |	|	|				
1|	3096070|	7|	72.409|	0.0801856 (0, 4.64942, 1.15675) |	|	|				
1|	3096081|	7|	49.9398|	0 (0, 0, 0) |	|	|				
1|	3096094|	7|	20.4862|	0 (0, 0, 0) |	|	|				
1|	3096104|	7|	22.9973|	0.0223476 (0, 0.513936, 0) |	|	|				
1|	3096130|	7|	27.4121|	0.0320241 (0, 0, 0.877847) |	|	|				
1|	3096157|	7|	40.7604|	0.0392879 (0.983306, 0.618085, 0) |	|	|				
1|	3096171|	7|	20.8187|	0.0917952 (0, 1.91106, 0) |	|	|				
1|	3096216|	7|	35.1832|	0.0764204 (1.20782, 1.48089, 0) |	|	|				
1|	3096226|	7|	37.8666|	0.0148956 (0, 0, 0.564044) |	|	|				
1|	3096243|	7|	42.24|	0.0398846 (1.68473, 0, 0) |	|	|				
1|	3096247|	7|	36.088|	0.0613524 (0, 1.69292, 0.521159) |	|	|				
1|	3096251|	7|	28.497|	0.0291046 (0, 0.829395, 0) |	|	|				
1|	3096252|	7|	43.9834|	0.0448891 (1.17065, 0.803728, 0) |	|	|				
1|	3096292|	7|	53.8778|	0 (0, 0, 0) |	|	|				
1|	3096297|	7|	63.1213|	0.0564487 (0.760722, 1.42723, 1.37516) |	|	|				
1|	3096308|	7|	33.1911|	0.0170443 (0.56572, 0, 0) |	|	|				
1|	3096318|	7|	54.1681|	0.0529585 (0, 1.82797, 1.04069) |	|	|				
1|	3096359|	7|	38.4001|	0.0357357 (0, 0.765994, 0.60626) |	|	|				
1|	3096374|	7|	57.0043|	0.0271538 (0, 1.54788, 0) |	|	|				
1|	3279726|	7|	32.9009|	0.0807059 (0, 2.6553, 0) |	|	|				
1|	3279731|	7|	24.9005|	0.0570743 (0, 1.42118, 0) |	|	|				
1|	3279743|	7|	47.5442|	0.0146287 (0, 0.695509, 0) |	|	|				
1|	3279767|	7|	35.2107|	0.0164549 (0, 0, 0.579389) |	|	|				
1|	3279770|	7|	30.2407|	0.0542812 (0, 1.6415, 0) |	|	|				
1|	3279779|	7|	26.3078|	0 (0, 0, 0) |	|	|				
1|	3279799|	7|	21.9132|	0.142209 (0, 3.11627, 0) |	|	|				
1|	3279815|	7|	46.4524|	0.0851621 (1.80425, 2.15173, 0) |	|	|				
1|	3279831|	7|	37.5397|	0.00587489 (0, 0.220541, 0) |	|	|				
1|	3279834|	7|	20.2982|	0.0310231 (0, 0.629713, 0) |	|	|				
1|	3279837|	7|	32.3691|	0.0744758 (0, 1.89765, 0.513061) |	|	|				
1|	3279852|	7|	59.4392|	0.0815512 (0, 4.12751, 0.719821) |	|	|				
1|	3279886|	7|	64.433|	0.0284895 (0.803437, 1.03223, 0) |	|	|				
1|	3279906|	7|	51.01|	0.0273024 (0, 1.39269, 0) |	|	|				
1|	3279909|	7|	35.9855|	0.0888782 (0, 0.215049, 2.98327) |	|	|				
1|	3279939|	7|	40.9017|	0.0689643 (1.57017, 1.25058, 0) |	|	|				
