Exactly two selected jets:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3279731|	7|	24.9005|	0.0570743 (0, 1.42118, 0) |	140.777|	60.9715|	|	|	|	
1|	3279767|	7|	35.2107|	0.0164549 (0, 0, 0.579389) |	58.9715|	41.5968|	|	|	|	
1|	3279770|	7|	30.2407|	0.0542812 (0, 1.6415, 0) |	82.4175|	78.5736|	|	|	|	
1|	3279779|	7|	26.3078|	0 (0, 0, 0) |	56.8314|	32.9259|	|	|	|	
1|	3279815|	7|	46.4524|	0.0851621 (1.80425, 2.15173, 0) |	54.2195|	49.251|	|	|	|	
1|	3279831|	7|	37.5397|	0.00587489 (0, 0.220541, 0) |	49.9104|	31.9848|	|	|	|	
1|	3279834|	7|	20.2982|	0.0310231 (0, 0.629713, 0) |	66.3171|	32.0589|	|	|	|	
1|	3279909|	7|	35.9855|	0.0888782 (0, 0.215049, 2.98327) |	41.5322|	32.1097|	|	|	|	
1|	3279939|	7|	40.9017|	0.0689643 (1.57017, 1.25058, 0) |	54.6799|	49.9473|	|	|	|	
1|	3279940|	7|	61.8252|	0 (0, 0, 0) |	33.0424|	31.9007|	|	|	|	
1|	3279943|	7|	27.3865|	0 (0, 0, 0) |	53.3835|	34.2615|	|	|	|	
1|	3279998|	7|	63.6564|	0.0224393 (0, 1.4284, 0) |	98.5799|	30.6943|	|	|	|	
1|	3280040|	7|	82.0193|	0 (0, 0, 0) |	43.5555|	33.8156|	|	|	|	
1|	3280179|	7|	36.7143|	0.0104462 (0, 0.383525, 0) |	57.1854|	40.9423|	|	|	|	
1|	3280203|	7|	46.1651|	0.0216085 (0, 0.410438, 0.587119) |	135.286|	78.5819|	|	|	|	
1|	3280213|	7|	20.5799|	0.133372 (1.86138, 0.883395, 0) |	85.446|	45.7672|	|	|	|	
1|	3280221|	7|	59.769|	0.0398668 (0, 1.12619, 1.25661) |	96.8492|	83.9504|	|	|	|	
1|	3280256|	7|	23.1624|	0.055668 (0, 1.2894, 0) |	85.5842|	46.4365|	|	|	|	
1|	3280261|	7|	108.914|	0.008799 (0, 0.206176, 0.75216) |	61.0744|	39.2876|	|	|	|	
1|	3280270|	7|	53.595|	0 (0, 0, 0) |	119.517|	102.513|	|	|	|	
1|	3280273|	7|	27.592|	0 (0, 0, 0) |	117.339|	44.4442|	|	|	|	
1|	3905256|	8|	29.5371|	0.112206 (0, 0.318878, 2.99535) |	87.5046|	76.237|	|	|	|	
1|	3905286|	8|	33.72|	0 (0, 0, 0) |	103.165|	49.4136|	|	|	|	
1|	3905374|	8|	69.7948|	0.0427573 (0, 1.52308, 1.46115) |	75.1338|	47.8623|	|	|	|	
1|	3905406|	8|	48.2824|	0.0384135 (0, 1.85469, 0) |	60.4645|	38.693|	|	|	|	
1|	3905426|	8|	69.6565|	0.00279232 (0, 0.194503, 0) |	33.3689|	32.7382|	|	|	|	
1|	3905428|	8|	27.2938|	0 (0, 0, 0) |	109.225|	92.2991|	|	|	|	
1|	3905462|	8|	36.6967|	0.0271367 (0, 0.995828, 0) |	130.422|	118.08|	|	|	|	
1|	3905479|	8|	62.715|	0.0214389 (0, 0.628482, 0.716059) |	92.8285|	61.0241|	|	|	|	
1|	3905508|	8|	44.4095|	0 (0, 0, 0) |	64.3659|	58.4157|	|	|	|	
1|	3905646|	8|	60.7895|	0.0154122 (0, 0.936898, 0) |	49.9608|	46.7999|	|	|	|	
1|	3905655|	8|	52.5619|	0 (0, 0, 0) |	130.834|	41.0937|	|	|	|	
1|	3905661|	8|	42.2652|	0 (0, 0, 0) |	61.975|	38.5498|	|	|	|	
1|	3905673|	8|	28.9672|	0 (0, 0, 0) |	52.4443|	36.9213|	|	|	|	
1|	3905715|	8|	74.5594|	0.0840253 (0, 4.5781, 1.68678) |	59.9449|	31.2032|	|	|	|	
1|	3905724|	8|	38.9062|	0.0341723 (0, 1.32951, 0) |	123.71|	75.808|	|	|	|	
1|	3905749|	8|	64.24|	0 (0, 0, 0) |	44.6753|	43.0178|	|	|	|	
before closing file input /home/nadjieh/work/samples/t-chan-Sync/1-TOPTREE.root
RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
runTree: runTree
run_br: runInfos
No Branch TagProbeObject
beforeLoop
1|	165155|	1|	30.1345|	0 (0, 0, 0) |	52.2017|	39.4511|	|	|	|	
1|	165168|	1|	104.845|	0.0180688 (0, 1.89442, 0) |	58.4663|	37.9209|	|	|	|	
1|	165209|	1|	53.9436|	0.019144 (0, 1.03269, 0) |	89.9544|	83.6043|	|	|	|	
1|	165222|	1|	36.9096|	0.0515839 (0, 1.90394, 0) |	48.5142|	35.8036|	|	|	|	
1|	165237|	1|	29.9433|	0 (0, 0, 0) |	81.2026|	52.9347|	|	|	|	
1|	165239|	1|	43.3233|	0.0681722 (0, 2.95345, 0) |	59.3525|	53.505|	|	|	|	
1|	165264|	1|	33.1596|	0.120791 (1.90185, 1.16646, 0.937081) |	68.6776|	33.9093|	|	|	|	
1|	165331|	1|	26.5834|	0.02504 (0, 0.665647, 0) |	155.086|	101.309|	|	|	|	
1|	165360|	1|	28.659|	0.0422458 (0, 1.21072, 0) |	128.835|	128.233|	|	|	|	
1|	165373|	1|	24.3556|	0.0259352 (0, 0.631668, 0) |	93.348|	57.1517|	|	|	|	
1|	165439|	1|	93.7794|	0 (0, 0, 0) |	44.1655|	40.9276|	|	|	|	
1|	165478|	1|	21.7324|	0.0853745 (0, 0.563975, 1.29142) |	87.8019|	46.9764|	|	|	|	
1|	165587|	1|	84.2006|	0.020811 (0, 0.825909, 0.926387) |	131.136|	56.0568|	|	|	|	
1|	165612|	1|	25.6579|	0 (0, 0, 0) |	53.2625|	33.6237|	|	|	|	
1|	165666|	1|	71.0963|	0.0117307 (0, 0, 0.834008) |	53.133|	34.5905|	|	|	|	
1|	165667|	1|	50.9662|	0.0404257 (0.957624, 0.331695, 0.77103) |	67.6143|	53.5457|	|	|	|	
1|	1318954|	3|	38.0487|	0.0459854 (0.99497, 0, 0.754716) |	41.1926|	30.0425|	|	|	|	
1|	1318966|	3|	40.1849|	0.0573806 (0.796917, 0, 1.50892) |	65.5913|	56.8176|	|	|	|	
1|	1318977|	3|	34.5286|	0.0958643 (1.38035, 1.92972, 0) |	73.8245|	35.0456|	|	|	|	
1|	1319007|	3|	29.2967|	0.119781 (0, 1.42275, 2.08644) |	77.75|	35.3274|	|	|	|	
1|	1319038|	3|	24.7471|	0.0932869 (0, 2.30858, 0) |	61.1426|	36.2016|	|	|	|	
1|	1319039|	3|	35.8914|	0.0368032 (0, 0.581666, 0.739251) |	132.222|	109.36|	|	|	|	
1|	1319086|	3|	37.4438|	0.0218956 (0, 0.819852, 0) |	49.8219|	31.4173|	|	|	|	
1|	1319136|	3|	58.7194|	0.0881213 (2.70592, 2.46851, 0) |	48.9433|	39.2821|	|	|	|	
1|	1319165|	3|	78.3133|	0.0772197 (4.40331, 1.64403, 0) |	42.6657|	33.764|	|	|	|	
1|	1319179|	3|	28.0261|	0.0131047 (0, 0.367273, 0) |	118.325|	105.299|	|	|	|	
1|	1319335|	3|	23.3743|	0.0411139 (0.961009, 0, 0) |	98.1738|	92.2241|	|	|	|	
1|	1319368|	3|	66.7185|	0 (0, 0, 0) |	52.8353|	32.0517|	|	|	|	
1|	1319438|	3|	24.7538|	0.0400031 (0, 0.990227, 0) |	71.6592|	49.8629|	|	|	|	
1|	1319501|	3|	21.7893|	0.0211144 (0, 0.460067, 0) |	57.3881|	44.2991|	|	|	|	
1|	1319523|	3|	20.548|	0.0726935 (0.74901, 0.744694, 0) |	98.5148|	51.4813|	|	|	|	
1|	1071927|	3|	21.4823|	0.120868 (0, 1.2969, 1.29961) |	97.9169|	48.4458|	|	|	|	
1|	1071928|	3|	21.0942|	0.0357337 (0, 0.753773, 0) |	84.7132|	64.265|	|	|	|	
1|	1072035|	3|	48.7039|	0.0638 (2.51038, 0.596934, 0) |	71.0318|	41.1609|	|	|	|	
1|	1072060|	3|	35.4103|	0 (0, 0, 0) |	54.5875|	43.4865|	|	|	|	
1|	1072137|	3|	45.5715|	0.0759479 (2.60256, 0.204607, 0.653896) |	88.4164|	54.2022|	|	|	|	
1|	1072216|	3|	42.2223|	0.139278 (3.84371, 2.03691, 0) |	83.337|	58.0596|	|	|	|	
1|	1072267|	3|	45.7305|	0.119724 (1.37074, 2.37002, 1.7343) |	71.3813|	56.961|	|	|	|	
1|	1072277|	3|	29.6404|	0.0771825 (0, 1.42384, 0.863881) |	61.6186|	44.8229|	|	|	|	
1|	1072281|	3|	56.1161|	0.0981639 (2.46976, 1.76131, 1.2775) |	41.6595|	39.5318|	|	|	|	
1|	1072292|	3|	35.2194|	0 (0, 0, 0) |	84.3657|	44.4953|	|	|	|	
1|	1072352|	3|	51.5773|	0.0252992 (0, 0, 1.30487) |	51.2113|	45.8865|	|	|	|	
1|	1072367|	3|	70.0702|	0.0880958 (3.11954, 2.46954, 0.583819) |	55.6347|	48.2033|	|	|	|	
1|	1072370|	3|	50.8001|	0.0213031 (0, 1.0822, 0) |	76.676|	34.2482|	|	|	|	
1|	1072393|	3|	28.7543|	0.0109156 (0, 0.313872, 0) |	106.782|	72.9257|	|	|	|	
1|	1072433|	3|	37.6685|	0.0170627 (0, 0, 0.642728) |	98.9923|	38.7584|	|	|	|	
1|	1072467|	3|	45.7886|	0.01759 (0, 0.805419, 0) |	93.8534|	39.7554|	|	|	|	
1|	1072473|	3|	33.652|	0.0748129 (0.656005, 0.826807, 1.03479) |	58.1597|	38.5592|	|	|	|	
1|	1072477|	3|	77.5107|	0.00103228 (0, 0.0800129, 0) |	104.09|	90.1919|	|	|	|	
1|	1072482|	3|	85.5294|	0.00929745 (0.795205, 0, 0) |	55.0481|	39.766|	|	|	|	
1|	1072501|	3|	34.4459|	0.0146618 (0, 0.505038, 0) |	60.4343|	35.0031|	|	|	|	
1|	1072509|	3|	23.1182|	0 (0, 0, 0) |	73.5423|	51.9392|	|	|	|	
1|	1072529|	3|	58.2199|	0.0697347 (0, 3.50599, 0.553961) |	114.8|	44.7707|	|	|	|	
1|	1072532|	3|	59.696|	0.053038 (0, 3.16616, 0) |	48.1654|	34.3477|	|	|	|	
1|	1072535|	3|	35.7591|	0 (0, 0, 0) |	147.627|	76.7273|	|	|	|	
1|	3099048|	7|	20.0678|	0.0349676 (0.701723, 0, 0) |	64.6311|	38.3543|	|	|	|	
1|	3099097|	7|	78.6884|	0 (0, 0, 0) |	43.9405|	35.7041|	|	|	|	
1|	3099116|	7|	25.2378|	0.0555187 (0, 1.40117, 0) |	128.36|	90.8104|	|	|	|	
1|	3099151|	7|	30.9035|	0.00922688 (0, 0.285143, 0) |	86.916|	77.6214|	|	|	|	
1|	3099163|	7|	35.2165|	0.0537969 (0, 0.903423, 0.991119) |	77.1443|	69.2477|	|	|	|	
1|	3099166|	7|	45.8122|	0.00796735 (0, 0.365002, 0) |	128.369|	39.1448|	|	|	|	
1|	3099208|	7|	32.2034|	0 (0, 0, 0) |	109.538|	36.2479|	|	|	|	
1|	3099234|	7|	39.0852|	0.00547313 (0, 0.213918, 0) |	51.8926|	30.7451|	|	|	|	
1|	3099275|	7|	125.47|	0.00747552 (0, 0.937952, 0) |	171.138|	62.4739|	|	|	|	
1|	3099313|	7|	35.3501|	0.0802331 (0.886353, 1.94989, 0) |	66.7873|	33.768|	|	|	|	
1|	3099329|	7|	40.3119|	0 (0, 0, 0) |	67.8955|	51.4513|	|	|	|	
1|	3099365|	7|	54.7227|	0.0588244 (1.12097, 1.12063, 0.977427) |	49.1568|	33.7073|	|	|	|	
1|	3099402|	7|	27.9304|	0.0300261 (0.83864, 0, 0) |	71.4328|	62.3321|	|	|	|	
1|	3099406|	7|	31.7037|	0.0418138 (0, 1.32566, 0) |	80.635|	78.8488|	|	|	|	
1|	3099410|	7|	44.8451|	0.0555926 (0, 2.49305, 0) |	124.297|	110.913|	|	|	|	
1|	3099510|	7|	29.7492|	0.0545078 (0, 1.04231, 0.579256) |	99.0116|	31.2428|	|	|	|	
1|	3099565|	7|	44.3899|	0.0378969 (1.0761, 0.606137, 0) |	212.026|	128.7|	|	|	|	
1|	3099584|	7|	68.5742|	0.041759 (0.862573, 0, 2.00102) |	79.992|	50.5462|	|	|	|	
1|	3099616|	7|	40.0532|	0.0801321 (0, 2.30877, 0.900772) |	63.8906|	38.8708|	|	|	|	
1|	3406474|	7|	89.6705|	0.0106265 (0, 0.432749, 0.520131) |	83.4065|	73.4335|	|	|	|	
1|	3406482|	7|	37.281|	0.0575104 (0, 1.26238, 0.881661) |	81.7599|	35.5272|	|	|	|	
1|	3406484|	7|	46.522|	0.101405 (0, 3.06235, 1.65522) |	84.8196|	55.3388|	|	|	|	
1|	3406507|	7|	52.1432|	0.0227326 (0.902423, 0.282929, 0) |	163.567|	83.6236|	|	|	|	
1|	3406551|	7|	38.6899|	0 (0, 0, 0) |	47.3639|	32.9196|	|	|	|	
1|	3406561|	7|	29.6353|	0.0683165 (0, 1.47154, 0.553045) |	64.6255|	43.0207|	|	|	|	
1|	3406564|	7|	49.075|	0 (0, 0, 0) |	103.832|	80.1076|	|	|	|	
1|	3406626|	7|	55.5118|	0.0093617 (0, 0.519684, 0) |	45.5401|	41.625|	|	|	|	
1|	3406672|	7|	40.6861|	0.0373019 (1.51767, 0, 0) |	126.744|	117.893|	|	|	|	
1|	3406706|	7|	30.3938|	0.0808986 (0.985533, 1.47329, 0) |	67.2685|	47.3397|	|	|	|	
1|	3406714|	7|	33.3892|	0.0596133 (0, 0.543104, 1.44734) |	44.4207|	43.0313|	|	|	|	
1|	3406739|	7|	26.3007|	0.0296497 (0, 0.19085, 0.588958) |	41.6326|	35.4347|	|	|	|	
1|	3406753|	7|	21.2271|	0.0857065 (0, 1.8193, 0) |	155.43|	93.2397|	|	|	|	
1|	3406773|	7|	36.6701|	0.109456 (0.80672, 2.67188, 0.535166) |	70.594|	60.1322|	|	|	|	
1|	3406787|	7|	60.313|	0 (0, 0, 0) |	77.3393|	50.8069|	|	|	|	
1|	3406800|	7|	53.5209|	0 (0, 0, 0) |	49.4788|	32.5361|	|	|	|	
1|	3406858|	7|	37.5243|	0.0359182 (0, 1.34781, 0) |	123.481|	83.0253|	|	|	|	
1|	3406869|	7|	46.4399|	0.046389 (0, 1.4825, 0.671802) |	101.545|	93.9514|	|	|	|	
1|	3406882|	7|	86.3363|	0.0101 (0, 0.871995, 0) |	42.8413|	32.4371|	|	|	|	
1|	3406902|	7|	32.782|	0 (0, 0, 0) |	56.9988|	55.731|	|	|	|	
1|	3407002|	7|	52.7687|	0.0310027 (0.929578, 0.706392, 0) |	115.367|	104.132|	|	|	|	
