 ==  = 
|    Run |             SelectedLS |     Recorded |           HLTpath |              L1bit |    Effective |
| 163046 |      [1-62], [66-114], |   1.441(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   1.441(/pb) |
|        |  [117-120], [122-133], |              |                   |                    |              |
|        |  [135-176], [186-189], |              |                   |                    |              |
|        |  [193-197], [201-227], |              |                   |                    |              |
|        |              [230-237] |              |                   |                    |              |
| 163069 |   [73-208], [217-248], |   3.693(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   3.693(/pb) |
|        |  [255-274], [277-284], |              |                   |                    |              |
|        |  [287-369], [376-452], |              |                   |                    |              |
|        |  [468-548], [550-552], |              |                   |                    |              |
|        |   [556-558], [562-633] |              |                   |                    |              |
| 163071 |       [1-70], [74-76], | 878.686(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 878.686(/nb) |
|        |   [82-108], [116-126], |              |                   |                    |              |
|        |   [129-150], [158-160] |              |                   |                    |              |
| 163078 |                 [1-23] | 136.719(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 136.719(/nb) |
| 163232 |              [110-149] | 266.749(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 266.749(/nb) |
| 163233 |                [1-283] |   1.809(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   1.809(/pb) |
| 163234 |                 [1-66] | 392.237(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 392.237(/nb) |
| 163235 |                [1-461] |   2.599(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   2.599(/pb) |
| 163237 |                [1-213] |   1.093(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   1.093(/pb) |
| 163238 |                 [9-15] |  21.193(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  21.193(/nb) |
| 163252 |               [60-136] | 675.503(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 675.503(/nb) |
| 163255 |    [1-359], [412-844], |   6.893(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   6.893(/pb) |
|        |   [846-846], [848-977] |              |                   |                    |              |
| 163261 |        [1-3], [10-126] | 774.437(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 774.437(/nb) |
| 163270 |       [1-76], [79-96], |   8.013(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   8.013(/pb) |
|        |   [99-475], [479-527], |              |                   |                    |              |
|        |   [529-685], [695-928] |              |                   |                    |              |
| 163286 |              [112-401] |   1.891(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.891(/pb) |
| 163289 |                [1-388] |   2.217(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.217(/pb) |
| 163296 |   [59-110], [117-120], |   4.953(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   4.953(/pb) |
|        |  [123-192], [201-230], |              |                   |                    |              |
|        |              [232-585] |              |                   |                    |              |
| 163297 |                [1-219] |   1.911(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.911(/pb) |
| 163300 |                [1-616] |   4.887(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   4.887(/pb) |
| 163301 |                [1-192] |   1.392(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.392(/pb) |
| 163302 |                [1-190] |   1.333(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.333(/pb) |
| 163332 |   [43-118], [224-264], |   6.556(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   6.556(/pb) |
|        |  [266-599], [601-639], |              |                   |                    |              |
|        |              [641-801] |              |                   |                    |              |
| 163333 |                [1-106] | 979.712(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 979.712(/nb) |
| 163334 |       [1-35], [37-37], |   3.777(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.777(/pb) |
|        |              [156-556] |              |                   |                    |              |
| 163337 |       [1-18], [27-48], |   3.142(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.142(/pb) |
|        |      [65-68], [73-80], |              |                   |                    |              |
|        |   [93-108], [117-201], |              |                   |                    |              |
|        |  [203-240], [249-426], |              |                   |                    |              |
|        |              [434-461] |              |                   |                    |              |
| 163338 |                [1-164] |   1.228(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.228(/pb) |
| 163339 |                [1-172] |   1.255(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.255(/pb) |
| 163340 |                [1-488] |   3.321(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   3.321(/pb) |
| 163358 |                [39-63] | 211.228(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 211.228(/nb) |
| 163369 |       [1-27], [32-41], | 901.216(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 901.216(/nb) |
|        |                [46-94] |              |                   |                    |              |
| 163370 |                [1-147] |   1.477(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   1.477(/pb) |
| 163371 |     [1-107], [148-356] |   2.931(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.931(/pb) |
| 163372 |                 [1-52] | 452.066(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 452.066(/nb) |
| 163374 |     [1-599], [603-863] |   6.715(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   6.715(/pb) |
