bash-3.2$ python lumiCalc3.py -i prv4.json -hltpath HLT_IsoMu17_v* -norm pp7TeV -prescales "onlyUnprescaled" recorded
 ==  = 
|    Run |             SelectedLS |     Recorded |            HLTpath |              L1bit |    Effective |
| 166164 |        [1-32], [34-40] | 785.342(/nb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) | 785.342(/nb) |
| 166346 |    [48-210], [212-215] |   4.291(/pb) | HLT_IsoMu17_v10(1) | "L1_SingleMu10"(1) |   4.291(/pb) |
| 166374 |      [46-64], [66-188] |   3.728(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   3.728(/pb) |
| 166380 |    [1-367], [373-711], |  35.415(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  35.415(/pb) |
|        |            [715-1400], |              |                    |                    |              |
|        |            [1406-1809] |              |                    |                    |              |
| 166408 |   [67-283], [291-947], |  27.815(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  27.815(/pb) |
|        |             [953-1236] |              |                    |                    |              |
| 166429 |                [33-89] |   1.394(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   1.394(/pb) |
| 166438 |     [32-85], [87-856], |  18.384(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  18.384(/pb) |
|        |              [858-865] |              |                    |                    |              |
| 166462 |   [78-102], [108-317], |   9.415(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   9.415(/pb) |
|        |              [323-526] |              |                    |                    |              |
| 166486 |      [54-75], [80-95], |   2.320(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   2.320(/pb) |
|        |               [97-174] |              |                    |                    |              |
| 166502 |      [43-78], [83-109] |   1.428(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   1.428(/pb) |
| 166512 |   [42-430], [432-487], |  38.044(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  38.044(/pb) |
|        | [491-605], [611-1279], |              |                    |                    |              |
|        |           [1281-1818], |              |                    |                    |              |
|        |           [1821-1862], |              |                    |                    |              |
|        |           [1868-1868], |              |                    |                    |              |
|        |           [1870-1871], |              |                    |                    |              |
|        |            [1873-1874] |              |                    |                    |              |
| 166514 |     [1-455], [460-463] |   7.361(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   7.361(/pb) |
| 166554 |   [46-218], [224-287], |  16.136(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  16.136(/pb) |
|        |  [290-317], [320-595], |              |                    |                    |              |
|        |  [597-730], [732-734], |              |                    |                    |              |
|        |              [736-736] |              |                    |                    |              |
| 166563 |     [1-276], [492-748] |  10.641(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  10.641(/pb) |
| 166565 |    [1-147], [153-312], |  14.986(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  14.986(/pb) |
|        |   [316-467], [469-898] |              |                    |                    |              |
| 166699 |   [55-234], [240-415], |  17.770(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  17.770(/pb) |
|        |  [421-477], [483-677], |              |                    |                    |              |
|        |              [681-911] |              |                    |                    |              |
| 166701 |      [1-13], [16-319], |  12.527(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  12.527(/pb) |
|        |  [324-506], [513-551], |              |                    |                    |              |
|        |  [557-672], [681-705], |              |                    |                    |              |
|        |  [712-724], [731-757], |              |                    |                    |              |
|        |   [764-777], [783-792] |              |                    |                    |              |
| 166763 |    [46-168], [174-650] |  13.446(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  13.446(/pb) |
| 166781 |   [41-111], [115-115], |   7.926(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   7.926(/pb) |
|        |  [117-233], [236-253], |              |                    |                    |              |
|        |              [255-382] |              |                    |                    |              |
| 166782 |                [1-569] |  11.923(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  11.923(/pb) |
| 166784 |    [1-114], [119-276], |   6.550(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   6.550(/pb) |
|        |              [281-364] |              |                    |                    |              |
| 166787 |      [1-55], [60-127], |   6.084(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   6.084(/pb) |
|        |              [132-364] |              |                    |                    |              |
| 166839 |   [43-173], [178-297], |   5.282(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   5.282(/pb) |
|        |              [299-301] |              |                    |                    |              |
| 166841 |    [1-845], [851-876], |  20.096(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  20.096(/pb) |
|        |  [882-977], [984-984], |              |                    |                    |              |
|        |  [988-992], [998-1015] |              |                    |                    |              |
| 166842 |                [1-169] |   2.897(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   2.897(/pb) |
| 166859 |   [62-418], [421-421], |   8.642(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   8.642(/pb) |
|        |              [423-423] |              |                    |                    |              |
| 166860 |                 [1-20] | 406.785(/nb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) | 406.785(/nb) |
| 166861 |          [1-6], [8-13] | 184.188(/nb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) | 184.188(/nb) |
| 166864 |       [1-29], [31-77], |   9.695(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   9.695(/pb) |
|        |    [79-99], [102-119], |              |                    |                    |              |
|        |  [125-247], [249-307], |              |                    |                    |              |
|        |  [311-365], [367-374], |              |                    |                    |              |
|        |   [378-454], [478-537] |              |                    |                    |              |
| 166888 |     [56-90], [93-154], |  10.261(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  10.261(/pb) |
|        |   [156-394], [398-470] |              |                    |                    |              |
| 166889 |       [1-73], [79-228] |   5.059(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   5.059(/pb) |
| 166890 |                [1-441] |   9.392(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   9.392(/pb) |
| 166894 |                [1-190] |   3.580(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   3.580(/pb) |
| 166895 |      [1-66], [72-597], |  10.353(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  10.353(/pb) |
|        |              [599-603] |              |                    |                    |              |
| 166911 |      [58-76], [81-103] | 991.821(/nb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) | 991.821(/nb) |
| 166922 |      [1-39], [41-105], |  18.189(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  18.189(/pb) |
|        |  [110-340], [345-418], |              |                    |                    |              |
|        |  [423-747], [752-769], |              |                    |                    |              |
|        |              [773-773] |              |                    |                    |              |
| 166923 |     [1-382], [389-470] |   9.613(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   9.613(/pb) |
| 166946 |      [41-72], [75-201] |   4.121(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   4.121(/pb) |
| 166950 |         [1-1], [8-31], |  29.598(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  29.598(/pb) |
|        |   [36-210], [216-877], |              |                    |                    |              |
|        | [883-950], [956-1012], |              |                    |                    |              |
|        |           [1018-1321], |              |                    |                    |              |
|        |           [1327-1345], |              |                    |                    |              |
|        |            [1347-1438] |              |                    |                    |              |
| 166960 |     [1-137], [143-166] |   2.856(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   2.856(/pb) |
| 166966 |                [1-238] |   3.993(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   3.993(/pb) |
| 166967 |                [1-220] |   3.479(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   3.479(/pb) |
| 167039 |      [20-92], [98-228] |   4.994(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   4.994(/pb) |
| 167041 |    [1-336], [339-391], |  13.612(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |  13.612(/pb) |
|        |   [396-462], [467-663] |              |                    |                    |              |
| 167043 |     [1-125], [130-234] |   4.060(/pb) |  HLT_IsoMu17_v9(1) | "L1_SingleMu10"(1) |   4.060(/pb) |
| 167078 |               [40-173] |   3.218(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   3.218(/pb) |
| 167098 |     [62-90], [92-162], |   8.312(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   8.312(/pb) |
|        |   [167-406], [448-461] |              |                    |                    |              |
| 167102 |      [6-42], [48-233], |   7.954(/pb) | HLT_IsoMu17_v11(1) | "L1_SingleMu10"(1) |   7.954(/pb) |
|        |   [235-317], [323-429] |              |                    |                    |              |
